="";="fooup_sfbudgetbal";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:budgetbal_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="budgetbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0049512";="-.0068672";="-.0016069";="-.0000806";="-.0005176";="0";=".0670902";="";="";="";="";="";="";="-1.089334";=".2166412"
="t";="-.8527372";="-.5901494";="-.4790724";="-1.900101";="-1.280508";=".";=".2565426";="";="";="";="";="";="";="-6.442211";=".7577282"
="p";=".393805";=".5550905";=".6318871";=".0574199";=".2003665";=".";=".7975319";="";="";="";="";="";="";="1.18e-10";=".4486137"
="budgetbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0010518";="-.0014588";="-.0003413";="-.0000171";="-.00011";="0";=".0144938";="";="";="";="";="";="";="";=""
="t";="-.8525889";="-.5862276";="-.4811163";="-1.805824";="-1.263635";=".";=".2518916";="";="";="";="";="";="";="";=""
="p";=".3938873";=".5577226";=".6304338";=".0709458";=".2063611";=".";=".8011249";="";="";="";="";="";="";="";=""
="budgetbal_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0048735";="-.0070204";="-.0015792";="-.0000807";="-.0005189";="";="";="0";=".0900358";="";="";="";="";="-1.099509";=".2124358"
="t";="-.8433508";="-.6011272";="-.470761";="-1.897016";="-1.284819";="";="";=".";=".3813649";="";="";="";="";="-6.520945";=".7492314"
="p";=".3990323";=".5477553";=".6378114";=".0578259";=".1988555";="";="";=".";=".7029325";="";="";="";="";="6.99e-11";=".4537177"
="budgetbal_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.001034";="-.0014895";="-.0003351";="-.0000171";="-.0001101";="";="";="0";=".0194772";="";="";="";="";="";=""
="t";="-.8438645";="-.5970258";="-.4727204";="-1.802104";="-1.268024";="";="";=".";=".373132";="";="";="";="";="";=""
="p";=".3987452";=".5504902";=".6364127";=".0715291";=".2047892";="";="";=".";=".7090502";="";="";="";="";="";=""
="budgetbal_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0049136";="-.0070555";="-.001586";="-.0000797";="-.0005197";="";="";="";="";="0";=".0711617";="";="";="-1.097674";=".2196091"
="t";="-.853953";="-.597808";="-.4731081";="-1.83247";="-1.284369";="";="";="";="";=".";=".3038418";="";="";="-6.232262";=".785801"
="p";=".3931311";=".5499681";=".636136";=".0668814";=".1990128";="";="";="";="";=".";=".7612484";="";="";="4.60e-10";=".4319841"
="budgetbal_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0010424";="-.0014968";="-.0003365";="-.0000169";="-.0001103";="";="";="";="";="0";=".0152599";="";="";="";=""
="t";="-.8541321";="-.5943039";="-.4750022";="-1.738843";="-1.267927";="";="";="";="";=".";=".3008127";="";="";="";=""
="p";=".3930318";=".5523088";=".6347854";=".0820624";=".2048241";="";="";="";="";=".";=".7635573";="";="";="";=""
="budgetbal_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0049284";="-.0075618";="-.0015033";="-.0000807";="-.0005462";="";="";="";="";="";="";="0";=".2230613";="-1.180087";=".2104425"
="t";="-.8474794";="-.6325848";="-.4552552";="-1.899834";="-1.34471";="";="";="";="";="";="";=".";=".8529016";="-5.772088";=".7588592"
="p";=".3967279";=".5270048";=".6489257";=".057455";=".1787189";="";="";="";="";="";="";=".";=".3937139";="7.83e-09";=".4479368"
="budgetbal_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0010364";="-.0015902";="-.0003161";="-.000017";="-.0001149";="";="";="";="";="";="";="0";=".0474175";="";=""
="t";="-.8474635";="-.6285621";="-.4568051";="-1.806926";="-1.327756";="";="";="";="";="";="";=".";=".8493416";="";=""
="p";=".3967368";=".5296358";=".6478111";=".0707739";=".1842586";="";="";="";="";="";="";=".";=".3956912";="";=""
=""
