="";="foodw_smnetdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdn_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="netdebt_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0100041";=".0621538";=".0047928";=".000282";="-.0504017";="0";="-.9246048";="";="";="";="";="";="";="-.7157714";=".5236355"
="t";="-1.290302";="1.872406";="1.129952";=".4792906";="-1.599684";=".";="-2.230226";="";="";="";="";="";="";="-2.617757";="1.399873"
="p";=".1969458";=".0611504";=".2584964";=".6317319";=".1096687";=".";=".0257325";="";="";="";="";="";="";=".008851";=".1615513"
="netdebt_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0028654";=".0178023";=".0013728";=".0000808";="-.0144363";="0";="-.1832991";="";="";="";="";="";="";="";=""
="t";="-1.271986";="1.86534";="1.093028";=".4820348";="-1.526685";=".";="-2.793758";="";="";="";="";="";="";="";=""
="p";=".2033781";=".0621338";=".2743817";=".6297812";=".1268395";=".";=".0052099";="";="";="";="";="";="";="";=""
="netdebt_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0099708";=".0619867";=".0047228";=".0002332";="-.0514092";="";="";="0";="-.7919123";="";="";="";="";="-.713887";=".5012271"
="t";="-1.289473";="1.885919";="1.099667";=".3849483";="-1.614922";="";="";=".";="-1.934062";="";="";="";="";="-2.603506";="1.352124"
="p";=".1972336";=".0593059";=".2714774";=".7002757";=".1063275";="";="";=".";=".0531055";="";="";="";="";=".0092276";=".1763356"
="netdebt_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.002852";=".0177301";=".0013509";=".0000667";="-.0147046";="";="";="0";="-.1675059";="";="";="";="";="";=""
="t";="-1.272583";="1.880531";="1.065703";=".3866708";="-1.540508";="";="";=".";="-2.381738";="";="";="";="";="";=""
="p";=".203166";=".0600357";=".2865578";=".6989999";=".1234367";="";="";=".";=".0172312";="";="";="";="";="";=""
="netdebt_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0098369";=".0635851";=".0044767";=".0001804";="-.0531528";="";="";="";="";="0";="-.7664714";="";="";="-.6867657";=".5008281"
="t";="-1.26637";="1.948444";=".9894394";=".2928509";="-1.619998";="";="";="";="";=".";="-3.151489";="";="";="-2.541708";="1.387381"
="p";=".2053808";=".0513619";=".3224482";=".7696361";=".1052327";="";="";="";="";=".";=".0016244";="";="";=".0110312";=".1653256"
="netdebt_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.002821";=".0182346";=".0012838";=".0000517";="-.0152428";="";="";="";="";="0";="-.1686142";="";="";="";=""
="t";="-1.25232";="1.937471";=".966307";=".293964";="-1.550153";="";="";="";="";=".";="-3.190834";="";="";="";=""
="p";=".2104534";=".0526878";=".3338906";=".7687854";=".1211049";="";="";="";="";=".";=".0014186";="";="";="";=""
="netdebt_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0088029";=".059839";=".0049823";=".0001378";="-.0518798";="";="";="";="";="";="";="0";="-.5100119";="-.6664636";=".4377949"
="t";="-1.146367";="1.864186";="1.174768";=".5239965";="-1.548132";="";="";="";="";="";="";=".";="-1.368744";="-2.482273";="1.243395"
="p";=".2516432";=".0622955";=".2400875";=".600281";=".1215906";="";="";="";="";="";="";=".";=".1710792";=".0130547";=".2137224"
="netdebt_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0025601";=".0174025";=".001449";=".0000401";="-.0150878";="";="";="";="";="";="";="0";="-.1288109";="";=""
="t";="-1.139098";="1.853435";="1.140243";=".5260532";="-1.485189";="";="";="";="";="";="";=".";="-1.531018";="";=""
="p";=".2546624";=".06382";=".2541852";=".5988512";=".1374938";="";="";="";="";="";="";=".";=".1257648";="";=""
=""
